Tract,County,Total_units,Occupied,Vacant,Owner_occupied,Renter_occupied,VALUE_Less299k,VALUE_300_499k,VALUE_500_999k,VALUE_1Mup,RENT_Less749,RENT_750_999,RENT_1k_1499,RENT_1k5up
98.02,Honolulu County,1897,1613,284,778,824,266,349,133,30,53,147,251,384
9800,Honolulu County,11,11,0,11,0,0,11,0,0,0,0,0,0
9800,Maui County,0,0,0,0,0,0,0,0,0,0,0,0,0
9802,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
9803,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
9806,Honolulu County,42,42,0,0,42,0,0,0,0,0,0,42,0
9807,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
9808,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
9810,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
9811,Honolulu County,6,6,0,0,6,0,0,0,0,0,0,6,0
9812,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
9813,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
9814,Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
99.02,Honolulu County,1292,1121,171,622,499,26,165,368,63,54,31,152,262
99.04,Honolulu County,2202,1897,305,953,922,134,282,439,98,170,63,231,480
9900,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9900,Kalawao County,0,0,0,0,0,0,0,0,0,0,0,0,0
9900,Maui County,0,0,0,0,0,0,0,0,0,0,0,0,0
"9,900.01",Honolulu County,0,0,0,0,0,0,0,0,0,0,0,0,0
9901,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9901,Kauai County,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,Kauai County,0,0,0,0,0,0,0,0,0,0,0,0,0
9902,Maui County,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,Kauai County,0,0,0,0,0,0,0,0,0,0,0,0,0
9904,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9905,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9906,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9907,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9908,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9909,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9910,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9911,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9912,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9912,Maui County,0,0,0,0,0,0,0,0,0,0,0,0,0
9913,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9914,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9915,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9916,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
9917,Hawaii County,0,0,0,0,0,0,0,0,0,0,0,0,0
