SchCode,Year,SubgroupCode,GoingCountN,GoingTotalD,GoingRate,CreditCountN,CreditTotalD,CreditRate
389,2013,11,98,121,0.809917355,64,95,0.673684211
389,2013,16,115,131,0.877862595,55,77,0.714285714
389,2013,17,42,70,0.6,12,30,0.4
389,2013,19,6,7,0.857142857,10,23,0.434782609
392,2013,1,145,319,0.454545455,44,100,0.44
392,2013,2,59,147,0.401360544,7,31,0.225806452
392,2013,3,3,17,0.176470588,0,3,0
392,2013,4,7,30,0.233333333,1,5,0.2
392,2013,6,2,3,0.666666667,0,0,-1
392,2013,7,3,15,0.2,0,4,0
392,2013,8,1,2,0.5,0,0,-1
392,2013,9,45,80,0.5625,8,22,0.363636364
392,2013,10,56,148,0.378378378,22,51,0.431372549
392,2013,11,89,171,0.520467836,22,49,0.448979592
392,2013,16,42,72,0.583333333,18,32,0.5625
392,2013,17,32,103,0.310679612,12,31,0.387096774
392,2013,19,20,44,0.454545455,6,11,0.545454545
396,2013,1,8,20,0.4,7,16,0.4375
396,2013,2,4,11,0.363636364,4,10,0.4
396,2013,3,1,2,0.5,0,2,0
396,2013,4,0,0,-1,0,0,-1
396,2013,6,0,0,-1,0,0,-1
396,2013,7,0,0,-1,0,0,-1
396,2013,8,0,0,-1,1,1,1
396,2013,9,5,10,0.5,3,6,0.5
396,2013,10,4,11,0.363636364,3,8,0.375
396,2013,11,4,9,0.444444444,4,8,0.5
396,2013,16,1,2,0.5,0,0,-1
396,2013,17,2,7,0.285714286,2,5,0.4
396,2013,19,0,1,0,1,4,0.25
397,2013,1,5,8,0.625,2,4,0.5
397,2013,2,3,4,0.75,1,2,0.5
397,2013,3,1,1,1,0,0,-1
397,2013,4,0,0,-1,0,0,-1
397,2013,6,0,0,-1,0,0,-1
397,2013,7,0,0,-1,0,0,-1
397,2013,8,0,0,-1,0,0,-1
397,2013,9,0,0,-1,1,1,1
397,2013,10,1,2,0.5,0,2,0
397,2013,11,4,6,0.666666667,2,2,1
397,2013,16,0,0,-1,0,0,-1
397,2013,17,5,8,0.625,1,3,0.333333333
397,2013,19,0,0,-1,0,0,-1
399,2013,1,13,22,0.590909091,6,11,0.545454545
399,2013,2,0,1,0,0,1,0
399,2013,3,0,0,-1,0,0,-1
399,2013,4,0,0,-1,0,0,-1
399,2013,6,0,0,-1,0,0,-1
399,2013,7,0,0,-1,0,0,-1
399,2013,8,0,0,-1,0,0,-1
399,2013,9,5,10,0.5,3,5,0.6
