SchCode,Year,SubgroupCode,GradeCode,SubjectCode,NbrActiveTested,NbrActive,PctTested,WellBelowProf,ApproachingProf,MeetsProf,ExceedsProf,NbrMeetsExceedsProf,NbrAllProf,PctProf
102,2013,17,99,R,2,2,1,0,1,1,0,1,2,0.5
102,2013,18,99,R,24,24,1,1,2,12,9,21,24,0.875
102,2013,17,99,M,2,2,1,0,2,0,0,0,2,0
102,2013,15,99,S,3,3,1,1,0,2,0,2,3,0.666666667
102,2013,18,99,S,8,8,1,1,4,2,1,3,8,0.375
102,2013,16,99,S,23,23,1,1,5,11,6,17,23,0.739130435
102,2013,14,99,S,0,0,-1,0,0,0,0,0,0,-1
102,2013,13,99,S,8,8,1,1,3,4,0,4,8,0.5
102,2013,12,99,S,0,0,-1,0,0,0,0,0,0,-1
102,2013,11,99,S,14,14,1,2,3,7,2,9,14,0.642857143
102,2013,10,99,S,24,24,1,0,6,12,6,18,24,0.75
102,2013,9,99,S,4,4,1,0,0,3,1,4,4,1
102,2013,17,99,S,0,0,-1,0,0,0,0,0,0,-1
102,2013,1,4,R,38,38,1,1,2,12,23,35,38,0.921052632
102,2013,1,5,R,39,39,1,1,6,15,17,32,39,0.820512821
102,2013,1,4,S,38,38,1,2,9,19,8,27,38,0.710526316
102,2013,1,4,M,38,38,1,0,8,18,12,30,38,0.789473684
102,2013,1,3,R,37,37,1,3,3,11,20,31,37,0.837837838
102,2013,1,3,M,37,37,1,2,6,21,8,29,37,0.783783784
102,2013,1,5,M,39,39,1,0,6,20,13,33,39,0.846153846
103,2011,1,4,R,25,25,1,0,5,19,1,20,25,0.8
103,2011,1,6,R,22,22,1,4,8,7,3,10,22,0.454545455
103,2011,1,10,R,20,20,1,2,8,10,0,10,20,0.5
103,2011,1,3,R,29,30,0.966666667,1,12,16,0,16,29,0.551724138
103,2011,1,10,M,20,20,1,11,8,1,0,1,20,0.05
103,2011,1,3,M,29,30,0.966666667,0,7,18,4,22,29,0.75862069
103,2011,1,7,M,39,39,1,13,16,8,2,10,39,0.256410256
103,2011,1,7,R,39,39,1,6,13,15,5,20,39,0.512820513
103,2011,1,8,M,30,30,1,11,12,6,1,7,30,0.233333333
103,2011,1,6,M,22,22,1,7,11,4,0,4,22,0.181818182
103,2011,1,5,R,14,15,0.933333333,2,4,6,2,8,14,0.571428571
103,2011,1,5,M,14,15,0.933333333,6,4,4,0,4,14,0.285714286
103,2011,1,4,M,25,25,1,0,18,7,0,7,25,0.28
103,2011,1,8,R,30,30,1,4,12,13,1,14,30,0.466666667
103,2012,1,3,M,28,31,0.903225806,1,7,20,0,20,28,0.714285714
103,2012,1,6,R,19,19,1,3,4,9,3,12,19,0.631578947
103,2012,1,6,M,19,19,1,7,7,5,0,5,19,0.263157895
103,2012,1,5,R,25,26,0.961538462,5,11,7,2,9,25,0.36
103,2012,1,5,M,25,26,0.961538462,13,8,3,1,4,25,0.16
103,2012,1,4,R,25,25,1,11,13,1,0,1,25,0.04
103,2012,1,10,M,22,22,1,12,7,3,0,3,22,0.136363636
103,2012,1,3,R,28,31,0.903225806,12,12,4,0,4,28,0.142857143
103,2012,1,10,R,22,22,1,2,7,13,0,13,22,0.590909091
103,2012,1,4,M,25,25,1,5,15,3,2,5,25,0.2
103,2012,1,8,R,31,31,1,5,3,16,7,23,31,0.741935484
103,2012,1,7,R,21,21,1,4,4,13,0,13,21,0.619047619
103,2012,1,7,M,21,21,1,8,8,5,0,5,21,0.238095238
103,2012,1,8,M,31,31,1,6,17,7,1,8,31,0.258064516
103,2012,1,10,S,0,0,-1,13,9,0,0,0,22,0
103,2012,1,4,S,0,0,-1,20,4,0,0,0,24,0
103,2012,1,8,S,0,0,-1,20,10,1,0,1,31,0.032258065
103,2013,18,99,S,41,48,0.854166667,34,25,0,0,0,59,0
103,2013,1,8,M,19,19,1,4,11,4,0,4,19,0.210526316
103,2013,16,99,S,0,0,-1,0,0,0,0,0,0,-1
103,2013,1,8,R,19,19,1,1,6,6,6,12,19,0.631578947
103,2013,1,7,R,20,21,0.952380952,1,7,11,1,12,20,0.6
103,2013,14,99,S,0,0,-1,0,0,0,0,0,0,-1
103,2013,1,8,S,18,19,0.947368421,15,3,0,0,0,18,0
103,2013,15,99,S,3,3,1,5,1,0,0,0,6,0
103,2013,1,7,M,20,21,0.952380952,9,8,3,0,3,20,0.15
103,2013,1,10,S,0,0,-1,10,9,0,1,1,20,0.05
103,2013,1,10,M,16,16,1,8,8,0,0,0,16,0
103,2013,1,10,R,16,16,1,4,6,5,1,6,16,0.375
103,2013,17,99,S,0,0,-1,0,0,0,0,0,0,-1
103,2013,17,99,R,0,0,-1,0,0,0,0,0,0,-1
103,2013,4,99,M,3,3,1,1,2,0,0,0,3,0
103,2013,8,99,M,2,2,1,0,1,1,0,1,2,0.5
103,2013,18,99,R,122,146,0.835616438,36,42,33,11,44,122,0.360655738
103,2013,7,99,M,4,6,0.666666667,2,2,0,0,0,4,0
103,2013,6,99,R,0,0,-1,0,0,0,0,0,0,-1
103,2013,6,99,M,0,0,-1,0,0,0,0,0,0,-1
103,2013,5,99,R,126,148,0.851351351,37,43,35,11,46,126,0.365079365
103,2013,18,99,M,123,146,0.842465753,60,50,13,0,13,123,0.105691057
103,2013,4,99,R,3,3,1,1,1,0,1,1,3,0.333333333
103,2013,8,99,R,2,2,1,0,1,1,0,1,2,0.5
103,2013,3,99,R,10,10,1,3,3,3,1,4,10,0.4
103,2013,3,99,M,10,10,1,7,2,1,0,1,10,0.1
103,2013,2,99,R,96,107,0.897196262,37,30,22,7,29,96,0.302083333
103,2013,2,99,M,96,107,0.897196262,50,36,10,0,10,96,0.104166667
103,2013,1,99,R,134,158,0.848101266,39,47,37,11,48,134,0.358208955
103,2013,1,99,M,135,158,0.85443038,63,57,15,0,15,135,0.111111111
103,2013,5,99,M,127,148,0.858108108,60,54,13,0,13,127,0.102362205
103,2013,13,99,M,3,3,1,1,2,0,0,0,3,0
103,2013,15,99,M,10,10,1,7,2,1,0,1,10,0.1
103,2013,14,99,R,0,0,-1,0,0,0,0,0,0,-1
103,2013,16,99,M,6,6,1,1,5,0,0,0,6,0
103,2013,16,99,R,6,6,1,1,3,2,0,2,6,0.333333333
103,2013,7,99,R,4,6,0.666666667,1,2,1,0,1,4,0.25
103,2013,17,99,M,0,0,-1,0,0,0,0,0,0,-1
103,2013,15,99,R,10,10,1,3,3,3,1,4,10,0.4
103,2013,13,99,R,3,3,1,1,1,0,1,1,3,0.333333333
103,2013,14,99,M,0,0,-1,0,0,0,0,0,0,-1
103,2013,12,99,R,0,0,-1,0,0,0,0,0,0,-1
103,2013,12,99,M,0,0,-1,0,0,0,0,0,0,-1
103,2013,11,99,R,81,93,0.870967742,22,29,24,6,30,81,0.37037037
103,2013,11,99,M,81,93,0.870967742,39,35,7,0,7,81,0.086419753
103,2013,10,99,R,53,65,0.815384615,17,18,13,5,18,53,0.339622642
103,2013,10,99,M,54,65,0.830769231,24,22,8,0,8,54,0.148148148
103,2013,9,99,R,2,2,1,1,1,0,0,0,2,0
103,2013,9,99,M,2,2,1,1,0,1,0,1,2,0.5
103,2013,3,99,S,3,3,1,5,1,0,0,0,6,0
103,2013,4,99,S,1,1,1,1,0,0,0,0,1,0
103,2013,5,99,S,40,47,0.85106383,34,24,0,1,1,59,0.016949153
103,2013,7,99,S,1,1,1,0,1,0,0,0,1,0
103,2013,8,99,S,0,0,-1,0,1,0,0,0,1,0
103,2013,9,99,S,0,0,-1,0,0,0,0,0,0,-1
103,2013,10,99,S,19,25,0.76,16,9,0,1,1,26,0.038461538
103,2013,11,99,S,22,23,0.956521739,18,17,0,0,0,35,0
103,2013,12,99,S,0,0,-1,0,0,0,0,0,0,-1
103,2013,6,99,S,0,0,-1,0,0,0,0,0,0,-1
103,2013,2,99,S,31,32,0.96875,28,18,0,0,0,46,0
103,2013,1,99,S,41,48,0.854166667,34,26,0,1,1,61,0.016393443
103,2013,1,6,M,22,23,0.956521739,10,10,2,0,2,22,0.090909091
103,2013,1,4,S,23,29,0.793103448,9,14,0,0,0,23,0
103,2013,1,3,M,16,26,0.615384615,6,9,1,0,1,16,0.0625
103,2013,1,3,R,16,26,0.615384615,7,8,1,0,1,16,0.0625
103,2013,1,4,R,23,29,0.793103448,19,4,0,0,0,23,0
103,2013,1,5,M,18,24,0.75,8,5,5,0,5,18,0.277777778
103,2013,1,5,R,18,24,0.75,4,8,4,2,6,18,0.333333333
103,2013,13,99,S,1,1,1,1,0,0,0,0,1,0
103,2013,1,4,M,24,29,0.827586207,18,6,0,0,0,24,0
103,2013,1,6,R,22,23,0.956521739,3,8,10,1,11,22,0.5
